Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
COLUMBIA VALLEY COMMUNITY HEALTH,"600 Orondo Ave, Ste 1",www.cvch.org,509-662-6000,,,Wenatchee,WA,98801-2800,-120.3177213,47.41861729
"St. Thomas Community Health Center, Inc.",1020 Saint Andrew St,,504-529-5558,rdarrow@stthomaschc.org,,New Orleans,LA,70130-5022,-90.07436101,29.93062636
FINGER LAKES MIGRANT HEALTH CARE,141 Central Ave,,315-536-2752,,,Keuka Park,NY,14478-9764,-77.09059443,42.61515528
"Mercy Health Services, Inc.",2959 Del Rio Pike,,615-790-4720,cindys@mercytn.org,,Franklin,TN,37069-8701,-86.89244799,35.93153498
BETHEL FAMILY CLINIC,430 Main St,,907-543-3773,npollock@bethelfamilyclinic.org,,Bethel,AK,99559,-161.7620037,60.79573709
MONTEFIORE MEDICAL CENTER,853 Longwood Ave,,718-588-4460,rkohn@montefiore.org,,Bronx,NY,10459-4036,-73.90103979,40.8193883
"Edward M. Kennedy Community Health Center, Inc.",140 Harrington Way,www.kennedychc.org,508-791-5789,steve.kerrigan@kennedychc.org,,Worcester,MA,01604-2100,-71.76698771,42.26105306
Hidalgo Medical Services,114 W 11th St,www.hmsnm.org,575-388-1511,,,Silver City,NM,88061-5136,-108.2768919,32.77673243
FAMILY HEALTH SERVICES,1 Indian Territory,,208-543-8262,satkinson@fhsid.org,,Buhl,ID,83316,-114.7625627,42.60778128
YAKIMA VALLEY FARM WORKERS CLINIC ADMIN,589 NW 11th St,www.yvfwc.com,541-567-1717,,,Hermiston,OR,97838-6600,-119.3109704,45.84533088
"SOUTHWEST VIRGINIA COMMUNITY HEALTH SYSTEMS, INCORPORATED",2195 Euclid Ave STE 6,svchs.com,276-669-5179,,,Bristol,VA,24201-3655,-82.20935078,36.59636089
NORTON SOUND HEALTH CORP,PO BOX 85058,WWW.NORTONSOUNDHEALTH.ORG,907-642-4311,,,Brevig Mission,AK,99785-0058,-166.48623,65.33209
"Community Health Center, Incorporated",883 Paddock Ave,,860-347-6971,mark@chc1.com,,Meriden,CT,06450-7044,-72.77615838,41.50593951
"Three Lower Counties Community Services, Inc.",1813 Sweetbay Dr,https://chesapeakehc.org,410-219-3769,jswanton@chesapeakehc.org,,Salisbury,MD,21804-1663,-75.54115252,38.37040235
LAWNDALE CHRISTIAN HEALTH CENTER,2715 W Harrison St,,872-588-3000,,,Chicago,IL,60612-3422,-87.6945605,41.87378923
Utah Partners for Health,8446 S Harrison St,www.upfh.org,801-417-0131,courtney@auch.org,,Midvale,UT,84047-3501,-111.9004401,40.59808443
"Community Healthcare Network, Inc.",350 Grand St,,212-432-8490,,,New York,NY,10002-4629,-73.98959594,40.71735627
"SYRACUSE COMMUNITY HEALTH CENTER, INC.",227 Magnolia St,www.schcny.com,315-435-4019,,,Syracuse,NY,13204-2707,-76.17326486,43.0437605
"Community Health Center, Incorporated",110 Mill St,www.chc1.com,860-826-8845,mark@chc1.com,,New Britain,CT,06051-3413,-72.77816559,41.65110544
"Gaston Family Health Services, Inc.",34th St Dr NE,,828-256-9545,,,Hickory,NC,28601,-81.26723482,35.76748987
JOHNSON HEALTH CENTER,134 Elon Rd,www.jhcvirginia.org,434-455-2480,jsingh@jhcvirginia.org,,Madison Heights,VA,24572-2536,-79.12076204,37.46708825
"Sterling Health Solutions, Inc.",700 W College Ave,,859-404-7686,fmahoney@sterlinghealthky.org,,Stanton,KY,40380-2224,-83.86913501,37.8467921
Silver State Health Services,7373 Peak Dr,,702-471-0420,,,Las Vegas,NV,89128-9003,-115.2531631,36.21000729
"Healing Hands Ministries, Inc.",5750 Pineland Dr STE 240,www.hhmhealth.org,469-637-2777,jasonwallace@hhmtx.org,,Dallas,TX,75231-5300,-96.75777737,32.8782597
FAMILY HEALTH SERVICES OF ERIE COUNTY,20 Center St,,419-502-2800,,,Berlin Heights,OH,44814-9603,-82.49189786,41.32384849
"Mercy Health Services, Inc.",485 N Main St,,931-246-4230,cindys@mercytn.org,,Cornersville,TN,37047-4104,-86.83867523,35.37127956
"Houston Area Community Services, Inc.",2150 W 18th St,www.avenue360.org,713-426-0027,cflash@avenue360.org,,Houston,TX,77008-5200,-95.43738371,29.80148416
Gateway Community Health Center Inc,208 Shiloh Dr STE 1,www.gatewaychc.com,956-795-8100,elmol.gateway@tachc.org,,Laredo,TX,78045-7402,-99.49416886,27.5863414
"Plan De Salud Del Valle, Inc.",815 West St,www.saludclinic.org,303-697-2583,,,Fort Morgan,CO,80701-2836,-103.8108875,40.25786998
DAVID RAINES COMMUNITY HEALTH CENTER INC,,davidraineschc.org,318-227-3350,,,Shreveport,LA,71107-4705,-93.83497002,32.54349998
"Community Health Center, Incorporated",1341 Ridge Rd,,203-248-4050,mark@chc1.com,,North Haven,CT,06473-3005,-72.89634778,41.37191428
PEDIATRIC & FAMILY MEDICAL CENTER,15477 Ventura Blvd STE 300,,213-747-5542,,,Sherman Oaks,CA,91403-3068,-118.471201,34.15467335
"Gaston Family Health Services, Inc.",306 W I St,www.kintegra.org,828-464-4061,,,Newton,NC,28658-3534,-81.22890624,35.65383612
Southeast Missouri Health Network,200 Pine St,,573-472-8850,,,Sikeston,MO,63801-3258,-89.5729844,36.87753992
Valley Health Partners Community Health Center,1627 Chew St STE Dntl,,484-224-0777,veronica.gonzalez@valleyhealthpartners.org,,Allentown,PA,18102-3648,-75.49389552,40.60091282
HOT SPRINGS HEALTH PROGRAM INC,590 Medical Park Dr,,828-649-3500,teresa@hotspringshealth-nc.org,,Marshall,NC,28753-6807,-82.6520368,35.80556265
Presbyterian Medical Services,1217 Bonita St,www.pms-inc,505-287-2958,,,Grants,NM,87020-2103,-107.8283416,35.16272713
Neighborcare Health,5000 SW Spokane St,https://neighborcare.org/clinics/west-seattle-elementary/,206-461-6935,,,Seattle,WA,98116-3234,-122.3965721,47.57214463
"Sunset Park Health Council, Inc.",230 W 17th St,,212-271-7261,,,New York,NY,10011-5325,-73.99976922,40.74099416
"Hopewell Health Centers, Inc.",2434 Richmiller Ln UNIT F,www.hopewellhealth.org,740-423-8095,,,Belpre,OH,45714-1075,-81.60873972,39.28518784
CHRISTIAN COMMUNITY HEALTH SERVICES,241 E Clifton Ave,,513-381-2247,,,Cincinnati,OH,45202-8905,-84.51249602,39.1142302
ARCARE,312 S 8th St,www.kentuckycare.net,270-753-2395,,,Murray,KY,42071-2428,-88.30857665,36.60594962
FAMILY HEALTH CENTERS OF SAN DIEGO INC,701 16th St,,619-515-2300,,,San Diego,CA,92101-7310,-117.1494308,32.71296681
"Maple City Health Care Center, Inc.",808 N 3rd St,www.vistagoshen.org,574-534-0088,cmast@mchcc.org,,Goshen,IN,46528-7100,-85.83599183,41.59613822
ACCESS HEALTH LOUISIANA,1401 W Esplanade Ave,,504-575-3700,,,Kenner,LA,70065-2845,-90.24774205,30.02016838
"Greater Lawrence Family Health Center, Inc.",172 Lawrence Street,www.glfhc.org,978-725-7400,wbarr@glfhc.org,,Lawrence,MA,01841-3849,-71.16471612,42.71336536
Mantachie Rural Health Care Inc,311 Mustang Dr,www.mantachieclinic.org,662-282-4226,mckinney.mrhc@yahoo.com,,Mantachie,MS,38855,-88.48953238,34.327416
HEALTH MINISTRIES CLINIC INC,301 N Main St STE 205,www.hmcks.org,316-283-6103,,,Newton,KS,67114-3460,-97.34511518,38.04526807
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,203 E Dalke Ave,www.chas.org,509-444-8200,,,Spokane,WA,99208-8112,-117.4068813,47.71369896
"LAKES COMMUNITY HEALTH CENTER, INC., THE",15397 State Highway 32,www.northlakesclinic.org,888-834-4551,,,Lakewood,WI,54138-9702,-88.52709538,45.30131879
Harbor Community Clinic,425 S Pacific Ave,www.harborchc.org,310-547-0202,kimsleder@gmail.com,,San Pedro,CA,90731-2625,-118.2879375,33.74007198
Mountaineer Community Health Center Inc,783 Winchester St,mountaineerhealth.org,304-947-5500,,,Paw Paw,WV,25434-3258,-78.45340463,39.52470717
Sea-Mar Community Health Center,4100 194th St SW Ste 120,,425-977-2560,dustingreer@seamarchc.org,,Lynnwood,WA,98036-4613,-122.2886676,47.82286768
IRONTON AND LAWRENCE COUNTY AREA COMMUNITY ACTION ORGANIZATION,2676 County Road 26 Rm 628,,740-643-8688,bummerbowwow@gmail.com,,Ironton,OH,45638-8315,-82.65553457,38.61083975
United Medical Centers,710 N Bedell Ave,www.umchealth.com,830-774-4363,,,Del Rio,TX,78840-4111,-100.8935593,29.37484822
BORREGO COMMUNITY HEALTH FOUNDATION,66675 Pierson Blvd,borregomedical.org,760-616-5240,,,Desert Hot Springs,CA,92240-3737,-116.498225,33.96139249
"East Texas Community Health Services, Inc.",3824 N University Dr,www.etchc.com,936-560-5668,ahumphreys@etchc.com,,Nacogdoches,TX,75965-2011,-94.63962945,31.6410102
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,1511 Christy Dr,,573-632-2777,,,Jefferson City,MO,65101-2854,-92.18954023,38.55999144
"Damian Family Care Centers, Inc.",3411 Vernon Blvd,,718-657-1100,pgrisafi@damianfcc.org,,Long Island City,NY,11106-5121,-73.94038553,40.76507969
"SOLANO, COUNTY OF",2201 Courage Dr,http://solanocounty.com/depts/ph/fhs/default.asp,707-784-2120,,,Fairfield,CA,94533-6733,-122.0693549,38.23725875
"Healthsource Of Ohio, Inc.",2055 Hospital Dr STE 220,www.healthsourceofohio.org,513-732-0870,,,Batavia,OH,45103-1969,-84.14687405,39.0805324
COMMUNITY ACTION AGENCY OF COLUMBIANA CO,16494 Saint Clair Ave,,330-424-5686,jenna.wonner@caaofcc.org,,East Liverpool,OH,43920-9124,-80.57461328,40.66175756
LA ESPREANZA ADMINISTRATION,35 E 31st St,http://www.esperanzahealth.org/,325-658-5339,,,San Angelo,TX,76903-2207,-100.4545668,31.49212644
"Citrus Health Network, Inc.",1645 SW 107th Ave Ste 114A,,305-825-0300,,,Miami,FL,33165-7344,-80.36644796,25.75288801
Bluestem Health,2222 S 16th St STE 435,www.bluestemlincoln.com,402-476-1455,sludwig@bluestemlincoln.com,,Lincoln,NE,68502-3793,-96.6989842,40.79150667
NEIGHBORHOOD HEALTH CLINICS INC.,1710 S Calhoun St,www.nhci.org,260-458-2641,sneace@nhci.org,,Fort Wayne,IN,46802-5256,-85.13826955,41.06999296
LEWIS COUNTY PRIMARY CARE CENTER INC,211 Ky 59 BLDG D,NA,606-796-9511,,,Vanceburg,KY,41179-7647,-83.32778936,38.58254752
Neighborhood Health,6715 Little River Tpke STE 201,,703-535-5568,,,Annandale,VA,22003-3546,-77.17551576,38.82543324
East Central Missouri Behavioral Health Services Inc,581 Commons Dr,,573-642-3215,ronlinda7@charter.net,,Fulton,MO,65251-1408,-91.95998593,38.83041775
MARILLAC COMMUNITY HEALTH CENTERS,4720 Painters St,,504-667-4327,,,New Orleans,LA,70122-5004,-90.05257259,30.00772483
HARRINGTON FAMILY HEALTH CENTER,50 E Main St,http://www.harringtonfamilyhealth.org,207-483-4502,phil.elkin@hfhcme.org,,Harrington,ME,04643-3043,-67.79620886,44.6219999
"Refuah Health Center, Inc.",5 Twin Ave,http://www.refuahhealth.org,845-354-9300,mginsburg@rhcnys.org,,Spring Valley,NY,10977-3950,-74.05062525,41.11743616
"Chiricahua Community Health Centers, Inc.",1201 N F Ave,www.cchci.org,520-364-1429,,,Douglas,AZ,85607-1920,-109.5529078,31.3467
EAU CLAIRE COOPERATIVE HEALTH CENTER,1228 Harden St STE B,www.ecchc.org,803-744-0540,,,Columbia,SC,29204-1800,-81.01947332,34.00693724
Penobscot Community Health Center,26 Cedar St,,207-947-6018,,,Bangor,ME,04401-7800,-68.77378931,44.79694909
HAMDARD CENTER FOR HEALTH & HUMAN SERVICES NFP,1542 W Devon Ave,www.hamdardcenter.org,773-465-4600,tpawar@hamdardhealth.org,,Chicago,IL,60660-1344,-87.66968653,41.99811967
AMPLA HEALTH,14137 Lakeridge Cir Ste C,,530-873-5030,,,Magalia,CA,95954-9470,-121.5914426,39.81900573
"Collier Health Services, Inc.",1749 Heritage Trl Ste 801,www.collier.org,239-774-1850,,,Naples,FL,34112-7591,-81.73572698,26.13752998
"Boston Health Care For The Homeless Program, Inc., The",402 Massachusetts Ave,,617-547-3400,ssullivan@bhchp.org,,Cambridge,MA,02139-4132,-71.10051376,42.36304284
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,844 6th St,http://www.chas.org/,208-848-8300,,,Clarkston,WA,99403-2013,-117.0456098,46.41283027
"Community Health Center, Incorporated",22 5th St,,203-323-8160,mark@chc1.com,,Stamford,CT,06905-5030,-73.5433647,41.06604014
Venice Family Clinic,8933 S La Cienega Blvd,,310-664-7927,,,Inglewood,CA,90301-4401,-118.3701224,33.9550673
CARECONNECT HEALTH INC,317 E Washington Ave,https://www.ccthealth.org,229-567-4414,,,Ashburn,GA,31714-5248,-83.6500292,31.70718855
JEFFERSON COMPREHENSIVE HEALTH CENTER INC,RURAL ROUTE 1; BOX 266,n/a,601-786-9645,,,Fayette,MS,39069,-91.06353499,31.71004
"CLACKAMAS, COUNTY OF",14897 SE Parklane Dr,https://www.clackamas.us/healthcenters,503-742-5300,,,Happy Valley,OR,97015-5518,-122.493481,45.41552997
PILLARS COMMUNITY HEALTH,,www.pillarscommunityhealth.org,708-579-2400,,,La Grange,IL,60525-2365,-87.87076998,41.81484999
"SEWARD, CITY OF",417 First Ave,www.sewardhealthcenter.org,907-224-4064,,,Seward,AK,99664,-149.4455928,60.10542163
"Sun River Health, Inc.",1037 Main St,www.hrhcare.org,914-734-8800,,,Peekskill,NY,10566-2913,-73.91842696,41.29159623
North Hudson Community Action Corporation,535 Midland Ave,www.nhcac.org,973-340-1156,joan.quigley@nhcac.org,,Garfield,NJ,07026-1658,-74.10087744,40.88226196
"Community Care of West Virginia, Inc.",228 Kanawha Ave,ccwv.org,304-881-1190,heather.powell@ccwv.org,,Burnsville,WV,26335-7700,-80.65720152,38.85904769
"Oak Orchard Community Health Center, Inc.",300 West Ave,,585-637-3905,mpettibon@oochc.org,,Brockport,NY,14420,-77.95058214,43.22107702
"Henry J. Austin Health Center, Inc.",317 Chambers St,www.henryjaustin.org,609-392-2635,,,Trenton,NJ,08609-2603,-74.74457047,40.21921399
Centro Medico Community Clinic Inc,1303 W 6th St STE 105,https://centromedicoclinic.com/,951-278-8910,apisk@centromedicoclinic.com,,Corona,CA,92882-3196,-117.5891599,33.87785362
"Fordland Clinic, Inc.",1059 Barton Dr,www.fordlandclinic.org,417-767-2273,rseiberlich@fordlandclinic.org,,Fordland,MO,65652-7350,-92.92496716,37.16172902
CITY OF NEWARK NEW JERSEY,140 Bergen St,,973-972-7800,,,Newark,NJ,07103-2425,-74.19225753,40.74052325
"Community Care of West Virginia, Inc.",413 Johnson Ave,www.ccwv.org,304-842-1840,heather.powell@ccwv.org,,Bridgeport,WV,26330-1309,-80.26132348,39.28885563
COUNTY OF VENTURA,325 W Channel Islands Blvd,,805-240-7000,,,Oxnard,CA,93033-4501,-119.180818,34.17372747
ADVOCATES FOR A HEALTHY COMMUNITY INC,1794 State Highway Bb,,471-243-4000,,,Hollister,MO,65672-5423,-93.19649497,36.614931
"Jefferson Community Health Care Centers, Inc",7201 Lapalco Blvd,www.jchcc.org,504-762-8931,,,Marrero,LA,70072-4523,-90.12866711,29.88417277
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",11611 Denton Ave,www.premierhc.org,352-518-2000,jresnick@hcnetwork.org,,Hudson,FL,34667-5420,-82.62448608,28.38999111
Bay Area Community Health,9460 N Name Uno STE 220,,510-252-5884,cpine@bach.health,,Gilroy,CA,95020-3532,-121.570966,37.03778301
"Citrus Health Network, Inc.",16001 E Bunche Park Dr,unkn,,,,Miami Gardens,FL,33054-2061,-80.23358767,25.92072212
YAKIMA VALLEY FARM WORKERS CLINIC ADMIN,2158 Exchange St STE 304,www.yvfwc.com,503-325-8315,,,Astoria,OR,97103-3307,-123.8177466,46.18859152
"Ohio North East Health Systems, Inc.",1032 E Market St,,844-652-8219,jwendell@onehealthohio.org,,Warren,OH,44483-6602,-80.80475956,41.23631414
United Health Centers of The San Joaquin Valley,2705 Highland Ave,www.unitedhealthcenters.org,559-646-6618 x0010,,,Selma,CA,93662-3389,-119.6288344,36.57305668
"Community Health Center, Incorporated",93 High St # 95,,860-342-1720,mark@chc1.com,,Portland,CT,06480-1656,-72.62162701,41.58124299
HEALTH PARTNERS OF WESTERN OHIO,228 S Main St,www.hpwohio.org,567-239-4562,,,Bryan,OH,43506-1755,-84.55104548,41.47230805
"Community Medical and Dental Care, Inc",40 Robert Pitt Dr,,845-352-6800,mhoffman@cmadc.com,,Monsey,NY,10952-3333,-74.06452186,41.11137789
COMMUNITY HEALTH CENTER OF SNOHOMISH COUNTY,1424 Broadway,chcsno.org,425-789-2000,,,Everett,WA,98201-1720,-122.2011213,47.99793278
HEALTH FIRST BLUEGRASS,576 E Third St,www.healthfirstlex.com,859-288-2425,,,Lexington,KY,40508-1781,-84.4831633,38.04317997
Yukon-kuskokwim Health Corporation,General Delivery,www.ykhc.org,907-675-4556,,,Holy Cross,AK,99602-9999,-159.77164,62.19713002
"Boston Health Care For The Homeless Program, Inc., The",363 Albany St,,857-654-1865,ssullivan@bhchp.org,,Boston,MA,02118-2503,-71.06316115,42.34260734
"KNOX, COUNTY OF",16 E Main St,,740-399-8008 x2285,zgreen@knoxhealth.com,,Danville,OH,43014,-82.25967287,40.45108885
HEALTHCARE CONNECTION INC,1411 Compton Rd,,513-588-3623,,,Mount Healthy,OH,45231-3559,-84.53934082,39.23155589
"Cumberland Family Medical Center, Inc.",350 Langdon St,,606-678-8155,tantle@cfmcky.com,,Somerset,KY,42503-2786,-84.61926428,37.08955098
Southeast Alaska Regional Health Consortium,Dolly Varden Rd,,907-697-3008,,,Gustavus,AK,99826,-135.7460999,58.41821604
Pancare of Florida Inc,403 E 11th St,,850-747-5599,mhill@pancarefl.org,,Panama City,FL,32401-3409,-85.65531848,30.16784499
"St. Francis House NWA, Inc.",500 S Mount Olive St STE 200,www.communityclinicnwa.org,479-524-9550,,,Siloam Springs,AR,72761-3602,-94.5421216,36.18130447
"Community Clinical Services, Inc.",1230 Maine St RM A,http://www.stmarysmaine.com/Our-Providers/poland-family-practice.html,207-998-4483,celias@stmarysmaine.com,,Poland,ME,04274-7325,-70.39538146,44.06293568
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,401 S Main St,https://chas.org/,509-444-8200,,,Deer Park,WA,99006-8238,-117.4768924,47.95066199
"Mosaic Health, Inc.",485 N Clinton Ave,,585-325-7828,,,Rochester,NY,14605-1817,-77.61122251,43.16698785
"Valley Health Systems, Inc.",252 Rural Acres Dr,,304-255-6800,,,Beckley,WV,25801-3503,-81.17899863,37.79170536
"FULL CIRCLE HEALTH, INC.",708 E Wythe Creek Ct STE 103,www.fullcircleidaho.org,208-922-5130,,,Kuna,ID,83634-5005,-116.405085,43.48773746
NORTHSHORE HEALTH CENTERS,1515 US Highway 41,,219-763-8112,dhall@northshorehealth.org,,Schererville,IN,46375-1317,-87.47089252,41.49434101
"SAN JOAQUIN, COUNTY OF",500 W Hospital Rd STE B,www.sjgeneralhospital.com,209-468-6709,ffadoo@sjhealth.org,,French Camp,CA,95231-9693,-121.2821174,37.88646215
COMMUNITY HEALTH ALLIANCE OF PASADENA,513 E Lime Ave STE 101-102,www.chapcare.org,626-398-6300,dzapata@chapcare.org,,Monrovia,CA,91016-2982,-117.993103,34.14819749
Hidalgo Medical Services,530 De Moss St,www.hmsnm.org,575-542-8384,,,Lordsburg,NM,88045-2618,-108.7068921,32.33881947
"COMMUNITY MEDICAL WELLNESS CENTERS, USA",1350 E Anaheim St,www.cmwcusa.org,562-270-0324,mspalliero@cmwcusa.org,,Long Beach,CA,90813-3776,-118.175092,33.78258248
"Boston Health Care For The Homeless Program, Inc., The",31 Bowker St,,857-654-1009,ssullivan@bhchp.org,,Boston,MA,02114-2917,-71.06064758,42.36234865
Lifelong Medical Care,2001 Dwight Way,WWW.LIFELONGMEDICAL.ORG,510-204-4666,,,Berkeley,CA,94704-2608,-122.2689435,37.86379136
"New Horizon Family Health Services, Inc",130 Mallard St,www.newhorizonfhs.org,864-729-8330,,,Greenville,SC,29601-4046,-82.41455511,34.83887038
"Cornerstone Care, Inc.",1249 National Pike,,724-437-0909,rrinehart@cornerstonecare.com,,Hopwood,PA,15445,-79.69886651,39.87309444
"ODA PRIMARY HEALTH CARE CENTER, INC.",779 E New York Ave,,718-260-4600,,,Brooklyn,NY,11203-1390,-73.93667923,40.66256993
Ozark Tri-County Health Care Consortium,318 Sulphur St,,417-782-6200 x115,,,Noel,MO,64854-9221,-94.4849939,36.53875056
"Gaston Family Health Services, Inc.",1019 N Lafayette St,www.kintegra.org,704-874-3316,,,Shelby,NC,28150-3746,-81.53953186,35.30421721
"MERIDIAN EDUCATION RESOURCE GROUP, INC.",35 Whitefoord Ave SE,www.whitefoord.org,404-588-0101,,,Atlanta,GA,30317-1727,-84.34216787,33.75287576
"Grace Community Health Center, Inc.",Creech Holw Rd,www.gracechc.com,606-337-5448,michael.stanley@gracehealthky.org,,Pineville,KY,40977,-83.74920202,36.7901581
BALDWIN FAMILY HEALTH CARE,1615 Michigan Ave,www.familyhealthcare.org,231-745-2743,tvanias@familyhealthcare.org,,Baldwin,MI,49304-7984,-85.85155944,43.90344898
International Community Health Services,1700 E Union St,,206-332-7160,doquyenh@ichs.com,,Seattle,WA,98122-4140,-122.309412,47.61293746
MOUNTAIN VALLEYS HEALTH CENTERS,101 Old Mccloud Rd,www.mtnvalleyhc.org,530-926-5100,,,Mount Shasta,CA,96067-2796,-122.3104662,41.30516012
Oakland Integrated Healthcare Network,22200 W 9 Mile Rd,www.honorcommunityhealth.org,248-724-7600,cduncanson@honorcommunityhealth.org,,Southfield,MI,48033-6008,-83.26232662,42.45787994
