Health Center Name,Address,Website,Phone Number,Email,,City,State,Zip,Latitude,Longitude
"Monterey, County Of","168 W Alisal St Fl 2, 168 W Alisal St Fl 2, Salinas, CA 93901-2487",http://www.montereycountyclinicservices.org,831-755-4939,segoviap@co.monterey.ca.us,,Salinas,CA,93901-2487,36.674158,-121.659252
Lifelong Medical Care,"2344 6th St, 2344 6th St, Berkeley, CA 94710-2412",https://www.lifelongmedical.org/,,,,Berkeley,CA,94710-2412,37.862037,-122.295981
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.","5488 U S Highway 49, 5488 U S Highway 49, Hattiesburg, MS 39401-7806",www.semrhi.com,,,,Hattiesburg,MS,39401-7806,31.287094,-89.29853
"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED","721 Okatie Hwy # 170, 721 Okatie Hwy # 170, Okatie, SC 29909-3963",www.bjhchs.org,,,,Okatie,SC,29909-3963,32.360153,-80.872349
HUDSON HEADWATERS HEALTH NETWORK,"9 Carey Rd, 9 Carey Rd, Queensbury, NY 12804-7880",,,,,Queensbury,NY,12804-7880,43.295766,-73.69022
AltaMed Health Services Corporation,"2040 Camfield Ave, 2040 Camfield Ave, Commerce, CA 90040-1502",www.altamed.org,,,,Commerce,CA,90040-1502,34.008007,-118.155224
"PREFERRED FAMILY HEALTHCARE, INCORPORATED","900 E Laharpe St, 900 E Laharpe St, Kirksville, MO 63501-4520",,,,,Kirksville,MO,63501-4520,40.179261,-92.582842
Presbyterian Medical Services,"1422 Paseo De Peralta, 1422 Paseo De Peralta, Santa Fe, NM 87501-4391",www.pms-inc.org,505-820-3475,lisa.stephens@pmsnm.org,,Santa Fe,NM,87501-4391,35.681484,-105.944681
HENNEPIN COUNTY,"1313 Penn Ave N, 1313 Penn Ave N, Minneapolis, MN 55411-3047",www.northpointhealth.org,,,,Minneapolis,MN,55411-3047,44.992228,-93.308858
"Multnomah, County of","501 SE Hawthorne Blvd Ste 531, 501 SE Hawthorne Blvd Ste 531, Portland, OR 97214-3587",//multco.us,,,,Portland,OR,97214-3587,45.512598,-122.660625
"Community Health Care Center, Incorporated","601 1st Ave N, 601 1st Ave N, Great Falls, MT 59401-2510",,,,,Great Falls,MT,59401-2510,47.506538,-111.296754
"PRIMARY HEALTH CARE, INC.","1200 University Ave Ste 200, 1200 University Ave Ste 200, Des Moines, IA 50314-2355",www.phcinc.net,,,,Des Moines,IA,50314-2355,41.600115,-93.63311
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.","5488 U S Highway 49, 5488 U S Highway 49, Hattiesburg, MS 39401-7806",www.semrhi.com,,,,Hattiesburg,MS,39401-7806,31.287094,-89.29853
"Operation Samahan, Inc.","2743 Highland Ave, 2743 Highland Ave, National City, CA 91950-7410",,844-200-1071 x1071,eprimero@samahanhealth.org,,National City,CA,91950-7410,32.661239,-117.091979
"Sunset Park Health Council, Inc.","150 55th St Ste 1, 150 55th St Ste 1, Brooklyn, NY 11220-2508",https://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,,,,Brooklyn,NY,11220-2508,40.646616,-74.020579
"KING, COUNTY OF","401 5th Ave, 401 5th Ave, Seattle, WA 98104-1818",http://www.metrokc.gov/health/locations/springwood.htm,,,,Seattle,WA,98104-1818,47.602491,-122.328538
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,"601 Park St, 601 Park St, Honesdale, PA 18431-1445",wmchc.net,,,,Honesdale,PA,18431-1445,41.576582,-75.260292
"Blackstone Valley Community Health Care, Inc.","39 East Ave, 39 East Ave, Pawtucket, RI 02860-4003",www.blackstonechc.org,,,,Pawtucket,RI,02860-4003,41.876616,-71.385118
"ST. LUKE'S HEALTH CARE CLINIC, INC.","999 W Amador Ave Ste A, 999 W Amador Ave Ste A, Las Cruces, NM 88005-2739",www.slhcclc.com,575-644-1899,suzan.mdg@amadorhealthcenter.org,,Las Cruces,NM,88005-2739,32.303238,-106.78807
"MCR Health, Inc.","700 8th Ave W Ste 101, 700 8th Ave W Ste 101, Palmetto, FL 34221-4737",www.mcrhs.org,941-776-4000,pcarnegie@mcrhs.org,,Palmetto,FL,34221-4737,27.517791,-82.572753
"HopeHealth, Inc.","360 N Irby St, 360 N Irby St, Florence, SC 29501-2808",,,,,Florence,SC,29501-2808,34.202028,-79.767455
Community Health Alliance,"680 S Rock Blvd, 680 S Rock Blvd, Reno, NV 89502-4113",www.chanevada.org,775-336-3035,jwheeler@chanevada.org,,Reno,NV,89502-4113,39.502362,-119.762043
"OPEN DOOR HEALTH SERVICES, INC.","333 S Madison St, 333 S Madison St, Muncie, IN 47305-2465",opendoorhs.org,765-286-7000,skclem@opendoorhs.org,,Muncie,IN,47305-2465,40.191282,-85.382276
BEHAVIORAL HEALTH SERVICES INC,"15519 Crenshaw Blvd, 15519 Crenshaw Blvd, Gardena, CA 90249-4525",,818-331-8625,danny@wewritethegrants.com,,Gardena,CA,90249-4525,33.889938,-118.326665
GREATER SEACOAST COMMUNITY HEALTH,"311 Route 108, 311 Route 108, Somersworth, NH 03878-1522",,603-516-2550,jlaatsch@goodwinch.org,,Somersworth,NH,03878-1522,43.257544,-70.901626
"Big Springs Medical Association, Inc","110 S 2nd St, 110 S 2nd St, Ellington, MO 63638-9400",www.mohigh.org,,,,Ellington,MO,63638-9400,37.241644,-90.968619
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,"2424 W Peterson Ave Ste 1, 2424 W Peterson Ave Ste 1, Chicago, IL 60659-4128",,,,,Chicago,IL,60659-4128,41.990812,-87.690678
"MCR Health, Inc.","700 8th Ave W Ste 101, 700 8th Ave W Ste 101, Palmetto, FL 34221-4737",WWW.MCRHS.ORG,941-776-4000,pcarnegie@mcrhs.org,,Palmetto,FL,34221-4737,27.517791,-82.572753
"Kinston Community Health Center, Incorporated","324 N Queen St, 324 N Queen St, Kinston, NC 28501-4932",http://lagrangeelementary.weebly.com/,,,,Kinston,NC,28501-4932,35.26327,-77.581596
"CENTER STREET COMMUNITY CLINIC, INC.","136 W Center St, 136 W Center St, Marion, OH 43302-3704",,,,,Marion,OH,43302-3704,40.588759,-83.129695
Country Doctor Community Clinic,"500 19th Ave E, 500 19th Ave E, Seattle, WA 98112-4007",www.countrydoctor.org,206-299-1614,mlcraig@cdchc.org,,Seattle,WA,98112-4007,47.623424,-122.306981
Tandem Health SC,"1278 N Lafayette Dr, 1278 N Lafayette Dr, Sumter, SC 29150-2964",www.tandemhealthsc.org,,,,Sumter,SC,29150-2964,33.942626,-80.342366
DAILY PLANET INC,"517 W Grace St, 517 W Grace St, Richmond, VA 23220-4911",,804-783-2505 x226,deligt@dailyplanet.org,,Richmond,VA,23220-4911,37.547626,-77.447745
"Rural Health Medical Program, Inc.","101 Park Pl, 101 Park Pl, Selma, AL 36701-6764",www.rhmpi.com,,,,Selma,AL,36701-6764,32.392994,-87.068013
SPRINGFIELD MEDICAL CARE SYSTEM INC,"25 Ridgewood Rd, 25 Ridgewood Rd, Springfield, VT 05156-3050",,802-885-7646,kwescott@springfieldmed.org,,Springfield,VT,05156-3050,43.298039,-72.49471
Golden Valley Health Centers,"737 W Childs Ave, 737 W Childs Ave, Merced, CA 95341-6805",www.gvhc.org,,,,Merced,CA,95341-6805,37.289074,-120.496277
Family Health Centers,"716 1st Ave S, 716 1st Ave S, Okanogan, WA 98840-9679",http://www.myfamilyhealth.org/,509-422-6705 x2859,dabel@myfamilyhealth.org,,Okanogan,WA,98840-9679,48.359694,-119.58479
COLUMBIA VALLEY COMMUNITY HEALTH,"600 Orondo Ave Ste 1, 600 Orondo Ave Ste 1, Wenatchee, WA 98801-2800",www.cvch.org,509-622-6000 x1320,blake.edwards@cvch.org,,Wenatchee,WA,98801-2800,47.419291,-120.318091
"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC.","3011 N Michigan St, 3011 N Michigan St, Pittsburg, KS 66762-2546",,,,,Pittsburg,KS,66762-2546,37.437329,-94.695893
"Community Health Centers Of Western Kentucky, Inc.","480 Hopkinsville St Ste 2, 480 Hopkinsville St Ste 2, Greenville, KY 42345-1124",n/a,270-338-5777,johndavidsandefur@gmail.com,,Greenville,KY,42345-1124,37.196704,-87.190224
SAINT JOSEPHS MERCY CARE SVCS,"424 Decatur St SE, 424 Decatur St SE, Atlanta, GA 30312-1848",www.mercyatlanta.org,,,,Atlanta,GA,30312-1848,33.750981,-84.374287
"Neomed Center, Inc.","Carr 941 Departure Bo Jaguas Calle San Antonio Final, Carr 941 Departure Bo Jaguas Calle San Antonio Final, Rinc�n, PR 00778",,,,,Rinc�n,PR,778,18.259092,-65.974641
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
"Southland Integrated Services, Inc.","1618 W 1st St, 1618 W 1st St, Santa Ana, CA 92703-3614",www.southlandintegrated.org,714-620-7016,pvoong@southlandintegrated.org,,Santa Ana,CA,92703-3614,33.744902,-117.890318
Portland Community Health Center,"180 Park Ave Ste 1, 180 Park Ave Ste 1, Portland, ME 04102-2927",,,,,Portland,ME,04102-2927,43.655982,-70.274272
HUDSON HEADWATERS HEALTH NETWORK,"9 Carey Rd, 9 Carey Rd, Queensbury, NY 12804-7880",www.hhhn.org,,,,Queensbury,NY,12804-7880,43.295766,-73.69022
North East Medical Services,"1520 Stockton St, 1520 Stockton St, San Francisco, CA 94133-3354",http://www.nems.org/,,,,San Francisco,CA,94133-3354,37.799941,-122.408725
OPEN DOOR COMMUNITY HEALTH CENTERS,"670 9th St Ste 203, 670 9th St Ste 203, Arcata, CA 95521-6249",,,,,Arcata,CA,95521-6249,40.868874,-124.085247
"GATEWAY COMMUNITY HEALTH CENTERS, INC.","501 Main St, 501 Main St, Gatesville, NC 27938-9424",www.albemarlehealth.org,,,,Gatesville,NC,27938-9424,36.408789,-76.753383
AltaMed Health Services Corporation,"2040 Camfield Ave, 2040 Camfield Ave, Commerce, CA 90040-1502",www.altamed.org,,,,Commerce,CA,90040-1502,34.008007,-118.155224
"JUNIPER HEALTH, INC.","141 Main St, 141 Main St, Beattyville, KY 41311-7484",,606-666-9950,mike.ackley@juniperhealth.org,,Beattyville,KY,41311-7484,37.572807,-83.708688
"CONTRA COSTA , COUNTY OF","2500 Alhambra Ave, 2500 Alhambra Ave, Martinez, CA 94553-3156",,925-313-6783,anuja.chand@cchealth.org,,Martinez,CA,94553-3156,38.006746,-122.133047
"Intercommunity, Inc.","800 CONNECTICUT BLVD FL 4, 800 CONNECTICUT BLVD FL 4, EAST HARTFORD, CT 06108-3239",,860-291-1340,kimbeauregard@intercommunityct.org,,EAST HARTFORD,CT,06108-3239,41.769246,-72.661334
Northeast Valley Health Corporation,"1172 N Maclay Ave, 1172 N Maclay Ave, San Fernando, CA 91340-1328",,818-898-1388,patriciamoraga@nevhc.org,,San Fernando,CA,91340-1328,34.295536,-118.423776
"Legacy Community Health Services, Inc.","1415 California St, 1415 California St, Houston, TX 77006-2602",www.legacycommunityhealth.org,832-548-5170,calexander@legacycommunityhealth.org,,Houston,TX,77006-2602,29.744983,-95.394107
"CENTER FOR FAMILY HEALTH, INC.","505 N Jackson St, 505 N Jackson St, Jackson, MI 49201-1266",,,,,Jackson,MI,49201-1266,42.252403,-84.408719
Five Rivers Health Centers,"2261 Philadelphia Dr Ste 200, 2261 Philadelphia Dr Ste 200, Dayton, OH 45406-1814",,817-326-0168,sueraygilbert@yahoo.com,,Dayton,OH,45406-1814,39.789071,-84.235157
"Aunt Martha's Health And Wellness, Inc.","19990 Governors Hwy, 19990 Governors Hwy, Olympia Fields, IL 60461-1021",www.auntmarthas.org,,,,Olympia Fields,IL,60461-1021,41.52672,-87.700483
"Glenns Ferry Health Center, Inc.","486 W 1st Ave, 486 W 1st Ave, Glenns Ferry, ID 83623-2701",www.desesrtsagehealthcenters.org,,,,Glenns Ferry,ID,83623-2701,42.953589,-115.304237
"HealthPoint Family Care, Inc.","215 E 11th St, 215 E 11th St, Newport, KY 41071-2203",,,,,Newport,KY,41071-2203,39.086886,-84.486454
"DAVID RAINES COMMUNITY HEALTH CENTER, INC.","3041 Dr Martin Luther King Dr, 3041 Dr Martin Luther King Dr, Shreveport, LA 71107-4705",davidraineschc.org,,,,Shreveport,LA,71107-4705,32.601593,-93.87377
BORREGO COMMUNITY HEALTH FOUNDATION,"4343 Yaqui Pass Rd, 4343 Yaqui Pass Rd, Borrego Springs, CA 92004",,,,,Borrego Springs,CA,92004,33.193986,-116.329059
AMISTAD COMMUNITY HEALTH CENTER.,"3902 Mckinzie Rd, 3902 Mckinzie Rd, Corpus Christi, TX 78410-2238",www.amistadchc.com,361-886-3066,dherrero@amistadchc.org,,Corpus Christi,TX,78410-2238,27.815495,-97.572427
Community Health Care Systems Inc,"2251 W Elm St, 2251 W Elm St, Wrightsville, GA 31096-2017",www.chcsga.org,478-552-7384 x1211,cbelcher@chcsga.org,,Wrightsville,GA,31096-2017,32.729228,-82.729989
Maniilaq Association,"2nd Ave, 2nd Ave, Kotzebue, AK 99752",www.maniilaq.org,907-442-7150,phansen@maniilaq.org,,Kotzebue,AK,99752,66.865256,-161.780844
School Health Clinics Of Santa Clara County,"6840 Via Del Oro Ste 210, 6840 Via Del Oro Ste 210, San Jose, CA 95119-1372",,408-284-2282,stephaniek@schoolhealthclinics.org,,San Jose,CA,95119-1372,37.23281,-121.777229
"COMMUNITY MEDICAL CENTERS, INC.","7210 Murray Dr, 7210 Murray Dr, Stockton, CA 95210-3339",,209-373-2826,cnoguera@communitymedicalcenters.org,,Stockton,CA,95210-3339,38.015926,-121.300622
"CHOPTANK COMMUNITY HEALTH SYSTEM, INC.","301 Randolph St, 301 Randolph St, Denton, MD 21629-1243",www.choptankhealth.org,,,,Denton,MD,21629-1243,38.884608,-75.831969
"Equitas Health, Inc.","1105 Schrock Rd Ste 400, 1105 Schrock Rd Ste 400, Columbus, OH 43229-1174",www.equitashealth.com,614-340-6754,annawuerth@equitashealth.com,,Columbus,OH,43229-1174,40.101805,-82.98511
OPEN DOOR COMMUNITY HEALTH CENTERS,"670 9th St Ste 203, 670 9th St Ste 203, Arcata, CA 95521-6249",www.opendoorhealth.com,,,,Arcata,CA,95521-6249,40.868874,-124.085247
"HURTT FAMILY HEALTH CLINIC, INC.","1 Hope Dr, 1 Hope Dr, Tustin, CA 92782-0221",,,,,Tustin,CA,92782-0221,33.714519,-117.83204
Yellowstone City-County Health Department,"123 S 27th St, 123 S 27th St, Billings, MT 59101-4227",www.riverstonehealth.org,,,,Billings,MT,59101-4227,45.77972,-108.500581
"PUEBLO COMMUNITY HEALTH CENTER, INC.","310 Colorado Ave, 310 Colorado Ave, Pueblo, CO 81004-2006",,,,,Pueblo,CO,81004-2006,38.257041,-104.624083
"OPEN DOOR FAMILY MEDICAL CENTER, INC.","165 Main St, 165 Main St, Ossining, NY 10562-4702",,914-502-1490,dwu@odfmc.org,,Ossining,NY,10562-4702,41.161455,-73.862482
"VALLEY HEALTHCARE SYSTEM, INC.","1600 Fort Benning Rd, 1600 Fort Benning Rd, Columbus, GA 31903-2834",www.valleyhealthcolumbus.com,706-573-3574,lellc@ymail.com,,Columbus,GA,31903-2834,32.42419,-84.939307
"Park Duvalle Community Health Center, Inc.","3015 Wilson Ave, 3015 Wilson Ave, Louisville, KY 40211-1969",,502-774-4401 x1218,sjett@pdchc.org,,Louisville,KY,40211-1969,38.227198,-85.807103
"Morris Heights Health Center, Inc.","85 W Burnside Ave, 85 W Burnside Ave, Bronx, NY 10453-4015",,,,,Bronx,NY,10453-4015,40.854693,-73.910352
"Compass Health, Inc.","1800 Community, 1800 Community, Clinton, MO 64735-8804",,,,,Clinton,MO,64735-8804,38.392008,-93.769605
"White Memorial Community Health Center, A California Nonprofit Public Benefit Corporation","1828 E Cesar E Chavez Ave Suite 6100, 1828 E Cesar E Chavez Ave Suite 6100, Los Angeles, CA 90033-2597",https://wmchealthcenter.org/,323-987-1200,floutsg@ah.org,,Los Angeles,CA,90033-2597,34.05014,-118.21571
Community Health Improvement Center,"320 E Central Ave, 320 E Central Ave, Decatur, IL 62521-4665",,217-877-9117,ltanner@crossinghealthcare.org,,Decatur,IL,62521-4665,39.84941,-88.952854
"North Florida Medical Centers, Inc.","2804 Remington Green Cir, 2804 Remington Green Cir, Tallahassee, FL 32308-8707",http://www.nfmc.org,,,,Tallahassee,FL,32308-8707,30.492188,-84.243997
Golden Valley Health Centers,"737 W Childs Ave, 737 W Childs Ave, Merced, CA 95341-6805",,,,,Merced,CA,95341-6805,37.289074,-120.496277
"Southern Illinois Health Care Foundation, Inc.","2041 Goose Lake Rd, 2041 Goose Lake Rd, Sauget, IL 62206-2822",www.sihf.org,618-215-8148,pbrodie@sihf.org,,Sauget,IL,62206-2822,38.564941,-90.13541
WellSpace Health,"1820 J St, 1820 J St, Sacramento, CA 95811-3010",,,,,Sacramento,CA,95811-3010,38.57719,-121.482393
"HEART CITY HEALTH CENTER, INC.","236 Simpson Ave, 236 Simpson Ave, Elkhart, IN 46516-4666",,,,,Elkhart,IN,46516-4666,41.690377,-85.946297
"Wayne Community Health Centers, Inc.","128 S 300 W, 128 S 300 W, Bicknell, UT 84715-7722",,435-425-1130,josiem@waynechc.org,,Bicknell,UT,84715-7722,38.338988,-111.550024
"Wirt County Health Service Association, Inc","606 Washington St, 606 Washington St, Ravenswood, WV 26164-1730",N/A,304-275-3301 x13030,cpennybacker@wchsa.com,,Ravenswood,WV,26164-1730,38.955532,-81.76769
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.","1601 Precision Park Ln, 1601 Precision Park Ln, San Diego, CA 92173-1345",,,,,San Diego,CA,92173-1345,32.566978,-117.058833
"D.F.D. RUSSELL MEDICAL CENTER, INC.","180 Church Hill Rd Ste 1, 180 Church Hill Rd Ste 1, Leeds, ME 04263-3418",,,,,Leeds,ME,04263-3418,44.301391,-70.136437
"Community Health Centers Of The Central Coast, Inc.","150 Tejas Pl, 150 Tejas Pl, Nipomo, CA 93444-9123",www.chccc.org,,,,Nipomo,CA,93444-9123,35.026707,-120.498603
Access Community Health Network,"600 W Fulton St Ste 200, 600 W Fulton St Ste 200, Chicago, IL 60661-1262",www.accesscommunityhealth.net,,,,Chicago,IL,60661-1262,41.887159,-87.643246
"Baptist Community Health Services, Inc.","4960 Saint Claude Ave, 4960 Saint Claude Ave, New Orleans, LA 70117-4258",www.bchsnola.org,,,,New Orleans,LA,70117-4258,29.962579,-90.023062
"Eastern Aleutian Tribes, Inc.","3380 C St Ste 100, 3380 C St Ste 100, Anchorage, AK 99503-3949",www.eatribes.org,907-277-1440 x40,hanselm@eatribes.net,,Anchorage,AK,99503-3949,61.18996,-149.88689
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
Community Action of Laramie County Inc,"211 W 19th St Ste 100, 211 W 19th St Ste 100, Cheyenne, WY 82001-4433",www.calc.net,307-635-9291 x15,kirk@calc.net,,Cheyenne,WY,82001-4433,41.135026,-104.817571
"MERIDIAN EDUCATION RESOURCE GROUP, INC.","1353 George W Brumley Way SE, 1353 George W Brumley Way SE, Atlanta, GA 30317-1743",www.whitefoord.org,,,,Atlanta,GA,30317-1743,33.75222,-84.343363
"Heartland Health Center, Inc.","3307 W Capital Ave, 3307 W Capital Ave, Grand Island, NE 68803-1334",,308-258-0549,peachismason@gmail.com,,Grand Island,NE,68803-1334,40.945834,-98.378841
Venice Family Clinic,"604 Rose Ave, 604 Rose Ave, Venice, CA 90291-2767",www.venicefamilyclinic.org,,,,Venice,CA,90291-2767,33.999152,-118.471655
Jefferson Comprehensive Health Center Inc,"405 Main St, 405 Main St, Fayette, MS 39069-5576",n/a,,,,Fayette,MS,39069-5576,31.711873,-91.061329
East Hill Family Medical Inc,"144 Genesee St Ste 500, 144 Genesee St Ste 500, Auburn, NY 13021-3510",,,,,Auburn,NY,13021-3510,42.930189,-76.568513
CAMINO HEALTH CENTER,"30300 Camino Capistrano, 30300 Camino Capistrano, San Juan Capistrano, CA 92675-1304",www.caminohealthcenter.org,,,,San Juan Capistrano,CA,92675-1304,33.523415,-117.66798
North Hudson Community Action Corporation,"800 31st St Fl 1, 800 31st St Fl 1, Union City, NJ 07087-2428",www.nhcac.org,201-583-6822,joan.quigley@nhcac.org,,Union City,NJ,07087-2428,40.773737,-74.033541
"Regional Health Care Affiliates, Inc.","121 E Main St, 121 E Main St, Providence, KY 42450-1268",http://healthfirstchc.net/,270-667-2397 x2053,vhoward@hfchc.net,,Providence,KY,42450-1268,37.397899,-87.761758
Northeast Valley Health Corporation,"1172 N Maclay Ave, 1172 N Maclay Ave, San Fernando, CA 91340-1328",,818-898-1388,patriciamoraga@nevhc.org,,San Fernando,CA,91340-1328,34.295536,-118.423776
"Northwest Michigan Health Services, Inc.","10767 E Traverse Hwy, 10767 E Traverse Hwy, Traverse City, MI 49684-6219",www.nmhsi.org,,,,Traverse City,MI,49684-6219,44.776131,-85.646599
"Clinicas del Camino Real, Inc.","200 S Wells Rd Ste 200, 200 S Wells Rd Ste 200, Ventura, CA 93004-1377",,,,,Ventura,CA,93004-1377,34.293578,-119.159079
"Hamilton Health Center, Inc.","110 S 17th St, 110 S 17th St, Harrisburg, PA 17104-1123",,,,,Harrisburg,PA,17104-1123,40.265049,-76.865013
"ALLIANCE HEALTH CENTERS, INC.","2700 LAFAYETTE ST STE 050, 2700 LAFAYETTE ST STE 050, FORT WAYNE, IN 46806-1141",www.myalliancehealth.org,260-266-0787,brooke.lockhart@myalliancehealth.org,,FORT WAYNE,IN,46806-1141,41.06027,-85.13321
NORTH CENTRAL TEXAS COMMUNITY HEALTH CARE CENTER,"200 Mlk Jr Blvd, 200 Mlk Jr Blvd, Wichita Falls, TX 76301-1152",www.chcwf.com,,,,Wichita Falls,TX,76301-1152,33.920894,-98.491107
Cahaba Medical Care Foundation,"195 Hospital Dr, 195 Hospital Dr, Centreville, AL 35042-2935",www.cahabamedicalcare.com,,,,Centreville,AL,35042-2935,32.948233,-87.139316
Camuy Health Services Inc,"63 Ave Munoz Rivera E, 63 Ave Munoz Rivera E, Camuy, PR 00627-2630",http://www.camuyhealthservicesinc.com,,,,Camuy,PR,00627-2630,18.484396,-66.847537
UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,"3875 W Beechwood Ave, 3875 W Beechwood Ave, Fresno, CA 93711-0795",www.unitedhealthcenters.org,,,,Fresno,CA,93711-0795,36.838507,-119.86403
Sea-Mar Community Health Center,"1040 S Henderson St, 1040 S Henderson St, Seattle, WA 98108-4720",,206-763-5277,dustingreer@seamarchc.org,,Seattle,WA,98108-4720,47.523968,-122.318663
"Shalom Health Care Center, Inc.","3400 Lafayette Rd Ste 200, 3400 Lafayette Rd Ste 200, Indianapolis, IN 46222-1147",www.shalomhealthcenter.org,,,,Indianapolis,IN,46222-1147,39.81755,-86.229619
El Centro Del Barrio,"3750 Commercial Ave, 3750 Commercial Ave, San Antonio, TX 78221-3117",www.centromedsa.com,,,,San Antonio,TX,78221-3117,29.335911,-98.515444
"NORTHEAST COMMUNITY CLINIC, THE","200 E Anaheim St, 200 E Anaheim St, Wilmington, CA 90744-4516",www.necc.net,626-457-6900 x06,Clau@necc.net,,Wilmington,CA,90744-4516,33.77994,-118.2608
BEHAVIORAL HEALTH SERVICES INC,"15519 Crenshaw Blvd, 15519 Crenshaw Blvd, Gardena, CA 90249-4525",,818-331-8625,danny@wewritethegrants.com,,Gardena,CA,90249-4525,33.889938,-118.326665
Family Medical Center of Michigan Inc,"8765 Lewis Ave, 8765 Lewis Ave, Temperance, MI 48182-9583",,,,,Temperance,MI,48182-9583,41.775059,-83.568835
"Grace Health, Inc.","181 Emmett St W, 181 Emmett St W, Battle Creek, MI 49037-2963",,269-966-2600,peter.chang@gracehealthmi.org,,Battle Creek,MI,49037-2963,42.32643,-85.23916
"Lynn Community Health, Inc.","269 Union St, 269 Union St, Lynn, MA 01901-1314",,,,,Lynn,MA,01901-1314,42.465261,-70.943624
Portland Community Health Center,"180 Park Ave Ste 1, 180 Park Ave Ste 1, Portland, ME 04102-2927",,,,,Portland,ME,04102-2927,43.655982,-70.274272
TERROS INC,"3003 N Central Ave Ste 200, 3003 N Central Ave Ste 200, Phoenix, AZ 85012-2914",terroshealth.org,,,,Phoenix,AZ,85012-2914,33.482649,-112.072608
